company,website,industry,company_size
Hooglee,https://hooglee.com/,Software Development,11-50 employees
ATC,http://www.atc.xyz,Information Technology & Services,201-500 employees
Software Engineering Institute | Carnegie Mellon University,http://www.sei.cmu.edu,Software Development,"501-1,000 employees"
Cadenova,https://www.cadenova.com/,"Technology, Information and Internet",2-10 employees
SIDRAM TECHNOLOGIES,www.sidramtech.com,"Technology, Information and Internet",51-200 employees
OpenTeams,http://openteams.com,Software Development,51-200 employees
Aypa Power,http://aypa.com,Renewable Energy Power Generation,51-200 employees
Jobright.ai,https://jobright.ai,Software Development,2-10 employees
Accrete,http://www.accrete.ai,Software Development,51-200 employees
Tech Mahindra Business Process Services,http://bps.techmahindra.com/,IT Services and IT Consulting,"10,001+ employees"
Infosys,https://www.infosys.com,IT Services and IT Consulting,"10,001+ employees"
Autodesk,http://www.autodesk.com,Software Development,"10,001+ employees"
TELUS Digital AI Data Solutions,https://www.telusdigital.com/careers,IT Services and IT Consulting,"10,001+ employees"
Aditi Consulting,http://www.aditiconsulting.com,IT Services and IT Consulting,"1,001-5,000 employees"
SME Work,https://sme-work.ai/,"Technology, Information and Internet",11-50 employees
BioRender,http://www.biorender.com,Software Development,201-500 employees
Lensa,https://lensa.com,IT Services and IT Consulting,51-200 employees
World,http://www.wfscorp.com,Oil and Gas,"5,001-10,000 employees"
Jobs via Dice,https://www.dice.com,Software Development,0-1 employees
DoubleVerify,http://www.doubleverify.com,Software Development,"501-1,000 employees"
Arc Institute,http://www.arcinstitute.org,Biotechnology,51-200 employees
